customer_code,customer_name,currency
C001,ალაზანი Group,GEL
C002,მტკვარი JSC,GEL
C003,კოლხეთი JSC,EUR
C004,ლიხი JSC,GEL
C005,ყაზბეგი LLC,GEL
C006,ბორჯომი Co,GEL
C007,Kobuleti Print Group,GEL
C008,Kutaisi Print JSC,GEL
C009,Poti Steel JSC,USD
C010,Tbilisi Retail Co,GEL
C011,Batumi Construction Group,GEL
C012,Zugdidi Retail Co,GEL
C013,Telavi Agro Co,GEL
C014,Poti Construction JSC,GEL
C015,Kobuleti Logistics LLC,GEL
C016,Gori Steel JSC,GEL
C017,Tbilisi Pharma JSC,GEL
C018,Mtskheta Energy Group,GEL
C019,Telavi Construction JSC,GEL
C020,Marneuli Foods JSC,GEL
C021,Poti Foods JSC,GEL
C022,Rustavi Steel LLC,EUR
C023,Telavi Trading Group,USD
C024,Telavi Retail LLC,EUR
C025,Mtskheta Steel JSC,GEL
C026,Kutaisi Print Group,GEL
C027,Rustavi Construction Co,GEL
C028,Mtskheta Retail LLC,GEL
C029,Telavi Agro Co,GEL
C030,Marneuli Construction Co,GEL
C031,Marneuli Systems LLC,GEL
C032,Marneuli Steel LLC,USD
C033,Gori Pharma Group,USD
C034,Akhaltsikhe Retail Co,GEL
C035,Telavi Agro JSC,GEL
C036,Poti Systems Co,GEL
C037,Kutaisi Agro Co,GEL
C038,Gori Agro Group,GEL
C039,Kobuleti Foods Group,USD
C040,Rustavi Pharma JSC,GEL
C041,Kobuleti Construction JSC,GEL
C042,Gori Trading Co,GEL
C043,Zugdidi Pharma Co,GEL
C044,Kobuleti Agro JSC,GEL
C045,Tbilisi Pharma Co,GEL
C046,Tbilisi Textiles LLC,GEL
C047,Telavi Textiles JSC,USD
C048,Poti Construction JSC,USD
C049,Poti Textiles Group,EUR
C050,Tbilisi Trading LLC,GEL
C051,Telavi Logistics LLC,EUR
C052,Poti Textiles Co,GEL
C053,Telavi Energy Group,USD
C054,Kobuleti Steel Co,GEL
C055,Tbilisi Agro LLC,GEL
C056,Poti Pharma Group,GEL
C057,Batumi Systems Co,USD
C058,Marneuli Logistics Group,GEL
C059,Kobuleti Textiles LLC,USD
C060,Telavi Pharma LLC,USD
