invoice_no,customer_code,customer_name,issue_date,due_date,amount,currency
INV-2026-0001,C037,Kutaisi Agro Co,2026-06-17,2026-07-17,26063.50,GEL
INV-2026-0002,C007,Kobuleti Print Group,2026-05-09,2026-06-08,22169.50,GEL
INV-2026-0003,C044,Kobuleti Agro JSC,2026-04-03,2026-05-03,30175.00,GEL
INV-2026-0004,C045,Tbilisi Pharma Co,2026-05-02,2026-06-16,44654.50,GEL
INV-2026-0005,C029,Telavi Agro Co,2026-06-23,2026-07-07,22100.50,GEL
INV-2026-0006,C012,Zugdidi Retail Co,2026-04-27,2026-05-27,4112.00,GEL
INV-2026-0007,C022,Rustavi Steel LLC,2026-07-05,2026-07-19,35164.50,EUR
INV-2026-0008,C005,ყაზბეგი LLC,2026-06-01,2026-06-15,39174.00,GEL
INV-2026-0009,C033,Gori Pharma Group,2026-05-25,2026-07-09,43283.00,USD
INV-2026-0010,C043,Zugdidi Pharma Co,2026-05-23,2026-07-07,6832.50,GEL
INV-2026-0011,C037,Kutaisi Agro Co,2026-07-02,2026-08-16,23707.50,GEL
INV-2026-0012,C021,Poti Foods JSC,2026-06-14,2026-07-14,2031.00,GEL
INV-2026-0013,C016,Gori Steel JSC,2026-05-08,2026-06-07,37771.50,GEL
INV-2026-0014,C011,Batumi Construction Group,2026-05-06,2026-06-20,14303.00,GEL
INV-2026-0015,C011,Batumi Construction Group,2026-07-09,2026-07-23,12065.50,GEL
INV-2026-0016,C019,Telavi Construction JSC,2026-04-06,2026-05-06,28160.50,GEL
INV-2026-0017,C057,Batumi Systems Co,2026-07-04,2026-08-03,3247.00,USD
INV-2026-0018,C036,Poti Systems Co,2026-05-22,2026-07-06,35243.50,GEL
INV-2026-0019,C055,Tbilisi Agro LLC,2026-04-15,2026-05-15,16400.50,GEL
INV-2026-0020,C050,Tbilisi Trading LLC,2026-04-24,2026-05-24,38179.00,GEL
INV-2026-0021,C041,Kobuleti Construction JSC,2026-07-31,2026-08-30,16929.50,GEL
INV-2026-0022,C002,მტკვარი JSC,2026-05-16,2026-05-30,39140.00,GEL
INV-2026-0023,C045,Tbilisi Pharma Co,2026-06-01,2026-07-16,29664.00,GEL
INV-2026-0024,C002,მტკვარი JSC,2026-07-14,2026-08-13,13169.00,GEL
INV-2026-0025,C001,ალაზანი Group,2026-06-20,2026-07-20,19132.00,GEL
INV-2026-0026,C015,Kobuleti Logistics LLC,2026-04-13,2026-05-28,28671.50,GEL
INV-2026-0027,C013,Telavi Agro Co,2026-05-03,2026-06-02,23430.00,GEL
INV-2026-0028,C007,Kobuleti Print Group,2026-06-21,2026-07-21,6168.00,GEL
INV-2026-0029,C060,Telavi Pharma LLC,2026-07-31,2026-08-30,35753.00,USD
INV-2026-0030,C033,Gori Pharma Group,2026-04-12,2026-05-27,30528.00,USD
INV-2026-0031,C001,ალაზანი Group,2026-07-09,2026-08-23,7520.00,GEL
INV-2026-0032,C018,Mtskheta Energy Group,2026-06-20,2026-07-20,30687.50,GEL
INV-2026-0033,C013,Telavi Agro Co,2026-05-24,2026-06-23,1050.50,GEL
INV-2026-0034,C038,Gori Agro Group,2026-07-08,2026-08-07,39103.00,GEL
