payment_ref,reference,customer_code,payer_name,value_date,amount,currency
BNK-2026-000008,INV-2026-0008,C005,ყაზბეგი LLC,2026-06-06,39174.00,GEL
BNK-2026-000009,INV-2026-0009,C033,Gori Pharma Group,2026-06-02,43283.00,USD
BNK-2026-000010,INV-2026-0010,C043,Zugdidi Pharma Co,2026-06-23,6832.50,GEL
BNK-2026-000013,INV-2026-0013,C016,Gori Steel JSC,2026-06-04,37771.50,GEL
BNK-2026-000014,INV-2026-0014,C011,Batumi Construction Group,2026-06-03,14303.00,GEL
BNK-2026-000018,INV-2026-0018,C036,Poti Systems Co,2026-06-25,35243.50,GEL
BNK-2026-000022,INV-2026-0022,C002,მტკვარი JSC,2026-06-21,39140.00,GEL
BNK-2026-000023,INV-2026-0023,C045,Tbilisi Pharma Co,2026-06-24,29664.00,GEL
BNK-2026-000033,INV-2026-0033,C013,Telavi Agro Co,2026-06-01,1050.50,GEL
BNK-2026-000046,INV-2026-0046,C039,Kobuleti Foods Group,2026-06-21,25219.00,USD
BNK-2026-000065,INV-2026-0065,C004,ლიხი JSC,2026-06-29,35636.00,GEL
BNK-2026-000066,INV-2026-0066,C052,Poti Textiles Co,2026-06-24,5498.00,GEL
BNK-2026-000071,INV-2026-0071,C024,Telavi Retail LLC,2026-06-05,40554.50,EUR
BNK-2026-000076,INV-2026-0076,C040,Rustavi Pharma JSC,2026-06-14,40221.50,GEL
BNK-2026-000077,INV-2026-0077,C045,Tbilisi Pharma Co,2026-06-20,34754.50,GEL
BNK-2026-000079,INV-2026-0079,C010,Tbilisi Retail Co,2026-06-22,12509.50,GEL
BNK-2026-000085,INV-2026-0085,C013,Telavi Agro Co,2026-06-11,42243.00,GEL
BNK-2026-900005,TRANSFER,C030,Gori Textiles LLC,2026-06-09,not a number,GEL
BNK-2026-900004,TRANSFER,C021,Zugdidi Print Co,2026-06-02,640.00,GBP
BNK-2026-000089,INV-2026-0089,C004,ლიხი JSC,2026-06-26,27115.50,GEL
BNK-2026-000094,INV-2026-0094,C003,კოლხეთი JSC,2026-06-07,7215.50,EUR
BNK-2026-000097,INV-2026-0097,C059,Kobuleti Textiles LLC,2026-06-28,4379.50,USD
BNK-2026-000102,INV-2026-0102,C001,ალაზანი Group,2026-06-01,20239.50,GEL
BNK-2026-000108,INV-2026-0108,C038,Gori Agro Group,2026-06-05,9646.50,GEL
BNK-2026-000109,INV-2026-0109,C012,Zugdidi Retail Co,2026-06-01,38237.00,GEL
BNK-2026-000114,INV-2026-0114,C038,Gori Agro Group,2026-06-07,41864.00,GEL
BNK-2026-000116,INV-2026-0116,C045,Tbilisi Pharma Co,2026-06-23,2111.50,GEL
BNK-2026-000117,INV-2026-0117,C044,Kobuleti Agro JSC,2026-06-22,37632.50,GEL
BNK-2026-000121,INV-2026-0121,C031,Marneuli Systems LLC,2026-06-28,8210.00,GEL
BNK-2026-000122,INV-2026-0122,C035,Telavi Agro JSC,2026-06-14,25209.50,GEL
BNK-2026-000124,INV-2026-0124,C015,Kobuleti Logistics LLC,2026-06-03,35001.00,GEL
BNK-2026-000128,INV-2026-0128,C014,Poti Construction JSC,2026-06-20,23737.50,GEL
BNK-2026-000131,INV-2026-0131,C057,Batumi Systems Co,2026-06-15,27508.50,USD
BNK-2026-000136,INV-2026-0136,C005,ყაზბეგი LLC,2026-06-08,24758.00,GEL
BNK-2026-000139,INV-2026-0139,C045,Tbilisi Pharma Co,2026-06-24,38700.50,GEL
BNK-2026-000146,INV-2026-0146,C006,ბორჯომი Co,2026-06-24,688.50,GEL
BNK-2026-000147,INV-2026-0147,C022,Rustavi Steel LLC,2026-06-07,29728.50,EUR
BNK-2026-000152,PMT-INV-2026-0152 PAYMENT,C009,Poti Steel JSC,2026-06-25,22728.50,USD
BNK-2026-000157,PMT-INV-2026-0157 PAYMENT,C056,Poti Pharma Group,2026-06-27,38268.00,GEL
BNK-2026-000158,PMT-INV-2026-0158 PAYMENT,C009,Poti Steel JSC,2026-06-15,8861.00,USD
BNK-2026-000161,PMT-INV-2026-0161 PAYMENT,C006,ბორჯომი Co,2026-06-13,44414.00,GEL
BNK-2026-000167,inv 2026 0167,C008,Kutaisi Print JSC,2026-06-27,21426.00,GEL
BNK-2026-000174,inv 2026 0174,C008,Kutaisi Print JSC,2026-06-23,10082.00,GEL
BNK-2026-000186,INV-2026-0886,C024,Telavi Retail LLC,2026-06-05,22828.00,EUR
BNK-2026-000194,INV-2026-0154,C027,Rustavi Construction Co,2026-06-28,43096.50,GEL
BNK-2026-000195,INV-2026-0175,C007,Kobuleti Print Group,2026-06-24,34188.00,GEL
BNK-2026-000197,INV-2026-0190,C037,Kutaisi Agro Co,2026-06-12,4647.50,GEL
BNK-2026-000203,PAYMENT AS AGREED,C036,Poti Systems Co,2026-06-11,42467.00,GEL
BNK-2026-000206,TRF,C053,Telavi Energy Group,2026-06-12,33276.50,USD
BNK-2026-000214,TRF,C005,ყაზბეგი LLC,2026-06-27,43460.00,GEL
BNK-2026-000221,PAYMENT,C014,Poti Construction JSC,2026-06-10,4641.50,GEL
BNK-2026-000226,SETTLEMENT,C027,Rustavi Construction Co,2026-06-08,36945.50,GEL
BNK-2026-000227,ACCOUNT SETTLEMENT,C025,Mtskheta Steel JSC,2026-06-08,35093.00,GEL
BNK-2026-000231,PAYMENT FOR SERVICES,C013,Telavi Agro Co,2026-06-30,16166.52,GEL
BNK-2026-000232,ANGARISHSWORA,C056,Poti Pharma Group,2026-06-09,10214.52,GEL
BNK-2026-000233,MONTHLY PAYMENT,C033,Gori Pharma Group,2026-06-15,13027.52,USD
BNK-2026-000242,GEO PAY,C021,Poti Foods JSC,2026-06-18,9639.98,GEL
BNK-2026-000253,INV-2026-0253,C056,Poti Pharma Group,2026-06-12,22454.93,GEL
BNK-2026-000255,INV-2026-0255,C004,ლიხი JSC,2026-06-25,20473.31,GEL
BNK-2026-000257,INV-2026-0257,C018,Mtskheta Energy Group,2026-06-10,37027.21,GEL
BNK-2026-000258,INV-2026-0258,C020,Marneuli Foods JSC,2026-06-02,4967.09,GEL
BNK-2026-000260,INV-2026-0260,C010,Tbilisi Retail Co,2026-06-16,33889.30,GEL
BNK-2026-000261,INV-2026-0261,C040,Rustavi Pharma JSC,2026-06-11,35403.69,GEL
BNK-2026-000270,INV-2026-0270,C057,Batumi Systems Co,2026-06-13,27219.00,GEL
BNK-2026-000275,INV-2026-0275,C017,Tbilisi Pharma JSC,2026-06-19,28856.00,GEL
BNK-2026-000280,INV-2026-0280,C017,Tbilisi Pharma JSC,2026-06-15,26673.50,GEL
BNK-2026-000282,CONSOLIDATED PAYMENT,C017,Tbilisi Pharma JSC,2026-06-18,95316.50,GEL
BNK-2026-000283,CONSOLIDATED PAYMENT,C038,Gori Agro Group,2026-06-23,30040.50,GEL
BNK-2026-000286,CONSOLIDATED PAYMENT,C008,Kutaisi Print JSC,2026-06-23,63014.00,GEL
BNK-2026-000301,PO-81806,C044,Kobuleti Agro JSC,2026-06-06,3623.32,GEL
BNK-2026-000302,PO-65725,C027,Rustavi Construction Co,2026-06-17,8691.16,GEL
BNK-2026-000303,PO-91517,C012,Zugdidi Retail Co,2026-06-20,24440.17,GEL
BNK-2026-000304,PO-53454,C035,Telavi Agro JSC,2026-06-23,2378.95,GEL
BNK-2026-000321,PO-81378,C049,Poti Textiles Group,2026-06-18,21971.59,EUR
BNK-2026-000325,PO-45985,C014,Poti Construction JSC,2026-06-19,8075.83,GEL
BNK-2026-000331,INV-2026-0009,C033,Gori Pharma Group,2026-06-04,43283.00,USD
BNK-2026-000338,INV-2026-0010,C043,Zugdidi Pharma Co,2026-06-25,6832.50,GEL
BNK-2026-000339,INV-2026-0147,C022,Rustavi Steel LLC,2026-06-12,29728.50,EUR
BNK-2026-000341,ACCOUNT SETTLEMENT,,Batumi Foods 2,2026-06-23,13221.50,GEL
BNK-2026-000343,TRANSFER,,Zugdidi Construction 4,2026-06-07,22398.50,GEL
BNK-2026-000349,TRANSFER,C058,Marneuli Logistics Group,2026-06-15,15730.33,GEL
BNK-2026-000362,MONTHLY PAYMENT,C045,Tbilisi Pharma Co,2026-06-16,26321.83,GEL
BNK-2026-000363,,C046,Tbilisi Textiles LLC,2026-06-10,44595.19,GEL
BNK-2026-000373,BANK TRANSFER,C030,Marneuli Construction Co,2026-06-13,25611.33,GEL
BNK-2026-000379,ACCOUNT SETTLEMENT,C044,Kobuleti Agro JSC,2026-06-23,26723.33,GEL
BNK-2026-000383,PAYMENT AS AGREED,C029,Telavi Agro Co,2026-06-08,28637.83,GEL
BNK-2026-000384,ANGARISHSWORA,C035,Telavi Agro JSC,2026-06-17,11680.13,GEL
BNK-2026-000386,TRF,C060,Telavi Pharma LLC,2026-06-20,22181.83,USD
BNK-2026-000388,PAYMENT,C020,Marneuli Foods JSC,2026-06-05,37917.87,GEL
BNK-2026-000392,SETTLEMENT,C020,Marneuli Foods JSC,2026-06-20,28718.83,GEL
BNK-2026-000395,TRANSFER,C005,ყაზბეგი LLC,2026-06-23,2491.33,GEL
BNK-2026-000397,ACCOUNT SETTLEMENT,C049,Poti Textiles Group,2026-06-11,15617.13,EUR
BNK-2026-000398,ACCOUNT SETTLEMENT,C029,Telavi Agro Co,2026-06-11,6732.19,GEL
BNK-2026-000399,ANGARISHSWORA,C034,Akhaltsikhe Retail Co,2026-06-01,7372.69,GEL
BNK-2026-000401,TRANSFER,C037,Kutaisi Agro Co,2026-06-16,34101.69,GEL
BNK-2026-000402,ANGARISHSWORA,C043,Zugdidi Pharma Co,2026-06-04,293.83,GEL
BNK-2026-000403,REVERSAL OF EARLIER CREDIT,C039,Kobuleti Foods Group,2026-06-18,-19396.50,USD
BNK-2026-000405,REVERSAL OF EARLIER CREDIT,C036,Poti Systems Co,2026-06-03,-7266.50,GEL
