  Value Date ,AMOUNT,Ccy,Payment Reference,Remittance Info,Ordering Party,Customer Code
02/07/2026,"26.063,50",GEL,BNK-2026-000001,INV-2026-0001,Kutaisi Agro Co,C037
21/07/2026,"22.100,50",GEL,BNK-2026-000005,INV-2026-0005,Telavi Agro Co,C029
27/07/2026,"35.164,50",EUR,BNK-2026-000007,INV-2026-0007,Rustavi Steel LLC,C022
20/07/2026,"23.707,50",GEL,BNK-2026-000011,INV-2026-0011,Kutaisi Agro Co,C037
16/07/2026,"2.031,00",GEL,BNK-2026-000012,INV-2026-0012,Poti Foods JSC,C021
31/07/2026,"12.065,50",GEL,BNK-2026-000015,INV-2026-0015,Batumi Construction Group,C011
20/07/2026,"3.247,00",USD,BNK-2026-000017,INV-2026-0017,Batumi Systems Co,C057
31/07/2026,"16.929,50",GEL,BNK-2026-000021,INV-2026-0021,Kobuleti Construction JSC,C041
19/07/2026,"13.169,00",GEL,BNK-2026-000024,INV-2026-0024,მტკვარი JSC,C002
24/07/2026,"19.132,00",GEL,BNK-2026-000025,INV-2026-0025,ალაზანი Group,C001
14/07/2026,"6.168,00",GEL,BNK-2026-000028,INV-2026-0028,Kobuleti Print Group,C007
31/07/2026,"35.753,00",USD,BNK-2026-000029,INV-2026-0029,Telavi Pharma LLC,C060
31/07/2026,"7.520,00",GEL,BNK-2026-000031,INV-2026-0031,ალაზანი Group,C001
11/07/2026,"30.687,50",GEL,BNK-2026-000032,INV-2026-0032,Mtskheta Energy Group,C018
16/07/2026,"39.103,00",GEL,BNK-2026-000034,INV-2026-0034,Gori Agro Group,C038
31/07/2026,"40.240,50",GEL,BNK-2026-000035,INV-2026-0035,Poti Textiles Co,C052
19/07/2026,"26.202,00",GEL,BNK-2026-000036,INV-2026-0036,Marneuli Systems LLC,C031
09/07/2026,"5.915,50",GEL,BNK-2026-000037,INV-2026-0037,Marneuli Construction Co,C030
07/07/2026,"2.734,50",EUR,BNK-2026-000040,INV-2026-0040,Telavi Logistics LLC,C051
31/07/2026,"25.622,50",GEL,BNK-2026-000042,INV-2026-0042,Kobuleti Print Group,C007
18/07/2026,"28.486,00",GEL,BNK-2026-000043,INV-2026-0043,Kutaisi Print Group,C026
31/07/2026,"27.414,00",GEL,BNK-2026-000045,INV-2026-0045,Kobuleti Agro JSC,C044
31/07/2026,"27.002,50",GEL,BNK-2026-000047,INV-2026-0047,Tbilisi Agro LLC,C055
15/07/2026,"42.026,00",GEL,BNK-2026-000048,INV-2026-0048,Mtskheta Energy Group,C018
24/07/2026,"8.955,00",GEL,BNK-2026-000049,INV-2026-0049,Akhaltsikhe Retail Co,C034
31/07/2026,"18.491,50",GEL,BNK-2026-000050,INV-2026-0050,Gori Steel JSC,C016
31/07/2026,"15.344,50",USD,BNK-2026-000053,INV-2026-0053,Kobuleti Textiles LLC,C059
24/07/2026,"36.165,00",GEL,BNK-2026-000054,INV-2026-0054,Telavi Construction JSC,C019
31/07/2026,"41.744,50",GEL,BNK-2026-000057,INV-2026-0057,Tbilisi Textiles LLC,C046
31/07/2026,"11.900,00",GEL,BNK-2026-000060,INV-2026-0060,Tbilisi Trading LLC,C050
31/07/2026,"11.914,00",GEL,BNK-2026-000061,INV-2026-0061,Tbilisi Agro LLC,C055
11/07/2026,"15.162,50",GEL,BNK-2026-000062,INV-2026-0062,Kutaisi Agro Co,C037
31/07/2026,"43.092,00",GEL,BNK-2026-000064,INV-2026-0064,Kobuleti Construction JSC,C041
31/07/2026,"43.311,50",USD,BNK-2026-000068,INV-2026-0068,Poti Construction JSC,C048
24/07/2026,"11.665,00",EUR,BNK-2026-000069,INV-2026-0069,Poti Textiles Group,C049
31/07/2026,"24.404,00",GEL,BNK-2026-000070,INV-2026-0070,Rustavi Construction Co,C027
31/07/2026,"27.705,00",USD,BNK-2026-000072,INV-2026-0072,Telavi Textiles JSC,C047
08/07/2026,"14.787,50",GEL,BNK-2026-000074,INV-2026-0074,ყაზბეგი LLC,C005
31/07/2026,"40.670,00",GEL,BNK-2026-000081,INV-2026-0081,ალაზანი Group,C001
18/07/2026,"5.200,50",GEL,BNK-2026-000084,INV-2026-0084,Poti Textiles Co,C052
31/07/2026,"16.244,00",GEL,BNK-2026-000086,INV-2026-0086,Zugdidi Pharma Co,C043
31/07/2026,"41.023,00",USD,BNK-2026-000088,INV-2026-0088,Telavi Energy Group,C053
25/07/2026,"33.453,00",USD,BNK-2026-000090,INV-2026-0090,Telavi Energy Group,C053
23/07/2026,"405,00",GEL,BNK-2026-000092,INV-2026-0092,Telavi Agro JSC,C035
31/07/2026,"17.581,00",USD,BNK-2026-000093,INV-2026-0093,Batumi Systems Co,C057
11/07/2026,"24.659,50",GEL,BNK-2026-000098,INV-2026-0098,Batumi Construction Group,C011
31/07/2026,"19.508,00",GEL,BNK-2026-000100,INV-2026-0100,Tbilisi Textiles LLC,C046
